coin_name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,trend
Bitcoin,btc,76980.0,1542901331165,1,25773004414,-0.36781,Stable
Ethereum,eth,2120.03,256037807362,2,11620228265,0.29364,Stable
Tether,usdt,0.998843,189416985737,3,47102718031,-0.01136,Stable
BNB,bnb,662.1,89251862682,4,926454694,-1.15128,Stable
XRP,xrp,1.35,83724180345,5,1189838940,-0.29797,Stable
USDC,usdc,0.999788,76253577859,6,11356478431,0.01599,Stable
Solana,sol,85.17,49262424796,7,2235987238,-0.86899,Stable
TRON,trx,0.375896,35640980270,8,752866435,1.68401,Stable
Figure Heloc,figr_heloc,1.015,18350671284,9,489029,0.0,Stable
Dogecoin,doge,0.102668,15864602108,10,537385738,-0.1001,Stable
Hyperliquid,hype,62.05,13779192016,11,746748295,-1.02087,Stable
USDS,usds,0.999589,11120641866,12,26788633,-0.01551,Stable
Zcash,zec,615.44,10251662270,13,912567877,-8.52227,Bearish
LEO Token,leo,10.01,9210431724,14,840412,-0.26165,Stable
Cardano,ada,0.244743,9057654789,15,292502922,0.06174,Stable
Monero,xmr,391.3,7226068131,16,134529480,0.58556,Stable
Bitcoin Cash,bch,353.88,7090723552,17,96808796,1.37289,Stable
Chainlink,link,9.59,6972406835,18,222863832,0.43433,Stable
WhiteBIT Coin,wbt,56.76,6728890439,19,33715975,-0.3261,Stable
Canton,cc,0.163019,6304113572,20,8794418,-2.12865,Stable
