coin_name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,trend
Bitcoin,btc,73469.0,1472202258280,1,34662115280,-0.16483,Stable
Ethereum,eth,2011.2,242720768830,2,13282857030,0.01665,Stable
Tether,usdt,0.998768,188243085215,3,56864698861,0.02477,Stable
BNB,bnb,666.13,89777633966,4,1011501005,4.50358,Stable
XRP,xrp,1.35,83462385859,5,2355890678,2.42583,Stable
USDC,usdc,0.999655,75964109549,6,12125605488,0.01275,Stable
Solana,sol,82.4,47666278313,7,2439236189,0.52954,Stable
TRON,trx,0.342665,32490625789,8,710967492,-2.21352,Stable
Figure Heloc,figr_heloc,1.032,18843977436,9,79450573,0.00049,Stable
Dogecoin,doge,0.101209,15631340673,10,718211998,1.78954,Stable
Hyperliquid,hype,65.47,14558109311,11,1503703431,6.93883,Bullish
USDS,usds,0.999603,11042105982,12,94102859,-0.00411,Stable
LEO Token,leo,10.13,9322397887,13,723784,1.83574,Stable
Rain,rain,0.01440165,8974412686,14,48806530,1.53039,Stable
Stellar,xlm,0.261688,8790295773,16,2693077708,24.48907,Bullish
Cardano,ada,0.235136,8734822306,15,401764990,-0.19493,Stable
Zcash,zec,512.31,8549433399,17,628575783,-4.29243,Stable
Monero,xmr,400.98,7532400043,18,232663826,11.49708,Bullish
Chainlink,link,9.15,6654408012,19,321504969,1.87702,Stable
WhiteBIT Coin,wbt,53.97,6386869620,20,93807592,-0.14617,Stable
